id;node_orig;node_dest
892;34552;68749
894;85884;33800
895;87020;3819
896;82161;4256
898;16737;17225
901;69114;17782
902;3394;76255
903;17739;17739
904;23917;52542
905;51352;3791
907;112;58806
908;75177;68374
909;1446;79394
910;6592;58806
911;47907;59071
913;4453;78321
914;4475;61280
915;102906;58073
916;87429;4475
917;27583;86884
918;4475;88909
919;67004;5120
920;17779;73960
921;59283;69114
922;64060;85091
924;71687;9975
925;64115;64800
926;83792;16745
928;8389;23922
930;76749;112074
931;82161;3916
933;51660;57283
934;77066;88027
936;3742;18845
938;77160;65317
940;85523;140
941;8390;68954
942;16831;8390
948;23922;8389
949;21638;39875
950;4608;92302
952;92931;97018
953;88896;112548
959;79352;6736
961;24132;3398
962;8389;8390
963;3482;3482
964;10434;60323
968;11509;4719
970;75102;61365
971;94727;92931
972;3337;13963
974;4642;83803
975;275;75653
978;85556;3112
979;34548;81916
980;23217;64800
982;614;5562
983;76070;86366
984;59174;4848
986;18934;127615
989;13454;64186
990;64186;13454
991;3385;97274
992;75102;14641
993;4419;73909
995;76475;67495
996;18845;3635
997;127171;86884
998;86884;3744
999;127615;4419
1000;3112;127171
1001;56298;6605
1002;149569;4848
1003;149569;68860
1004;114;78638
1005;235;127333
1006;68374;3259
1008;55002;127623
1010;4495;57077
1011;88380;126931
1015;57077;112169
1017;3520;3264
1018;51760;68374
1020;82168;112285
1021;103703;3791
1022;3791;58964
1023;57441;63879
1025;61340;8390
1029;12972;10370
1030;75239;80244
1031;8146;50580
1032;57857;4495
1033;103784;85200
1034;53688;56993
1035;63879;12741
1038;10386;3259
1039;83795;88058
1040;89348;61963
1042;78638;83907
1043;61963;3523
1044;109245;8389
1045;83794;16362
1046;3303;94478
1049;88887;88887
1051;76255;161
1052;120;83052
1053;68105;58806
1054;3421;58806
1055;102206;58634
1056;5590;51833
1057;61169;48544
1058;122074;57944
1062;67423;77756
1064;53708;76486
1065;88886;4319
1066;86366;51528
1067;10370;79951
1068;77755;56813
1070;88840;85042
1071;88840;79483
1072;18934;53250
1074;79404;23923
1075;104579;23917
1077;47732;126994
1080;68364;68374
1083;17257;56995
1084;127032;13383
1085;65208;162
1086;4489;1446
1087;65248;22253
1088;8389;228
1089;65945;85884
1090;155157;55881
1091;68374;11188
1092;65178;58416
1099;77713;25452
1100;61355;57768
1102;3607;48104
1104;64508;62893
1105;17356;3301
1106;111930;4751
1107;12708;47579
1108;64053;79043
1110;76461;60663
1112;24864;24863
1113;85470;159
1114;76070;4733
1116;34558;89339
1117;44559;44559
1118;56812;89327
1119;78874;22260
1120;78337;114
1121;56813;58806
1122;3515;60202
1124;88385;22345
1125;79498;56812
1126;76033;127142
1127;228;57940
1128;22345;22345
1131;85295;76461
1133;55002;60707
1134;1446;57979
1135;3267;25452
1136;49786;16737
1137;25452;127032
1138;75293;79482
1142;89350;11284
1144;62193;90018
1145;64023;76070
1146;78816;68511
1147;59626;55110
1150;13383;18912
1151;1446;275
1152;86884;3403
1153;87020;86884
1154;86884;87020
1155;53250;18934
1156;3560;34559
1157;47907;5628
1158;54926;58035
1159;22253;65248
1160;113976;64538
1162;79483;66032
1163;8390;8389
1164;4357;79352
1166;160;76464
1167;23920;104579
1168;55285;66032
1170;66032;54724
1171;83907;65178
1173;75307;74085
1174;51635;51635
1175;67004;79498
1176;3441;88380
1177;162;3520
1178;87419;79401
1179;86682;78639
1181;51687;4538
1182;52488;55018
1183;77755;56813
1184;52852;58427
1186;87959;67005
1188;4848;83542
1189;4489;1446
1190;68374;54760
1191;55018;4704
1192;68371;3316
1193;65248;22253
1194;65178;58416
1196;15366;111625
1197;113976;8140
1199;76070;78816
1200;18934;53250
1201;9463;18934
1205;79393;49786
1206;106723;12174
1207;92501;87947
1208;59071;47579
1209;88678;93238
1210;71686;79482
1212;55413;51757
1214;76461;61003
1215;88787;1446
1216;88828;17545
1218;21685;51854
1219;34559;4533
1222;88182;92931
1223;76255;11614
1224;58427;54887
1226;58427;58634
1228;55414;80802
1229;73909;3023
1230;162068;58806
1231;3535;127623
1232;60707;3288
1233;127333;83001
1234;79498;89346
1235;1446;57979
1241;21869;56063
1244;64961;9015
1245;62193;90018
1246;88385;22345
1247;23918;57804
1248;92988;51843
1249;59626;4641
1250;88704;75246
1252;76447;88380
1253;1446;161
1255;1446;79394
1258;4743;4412
1260;78815;56175
1261;51843;88904
1265;83001;3059
1266;75247;88576
1267;89349;78331
1269;85091;77020
1270;18362;4848
1271;111625;4574
1272;88902;65248
1273;275;89222
1274;65285;114
1275;162;65285
1276;9526;76064
1277;89343;111
1278;4704;52488
1280;79394;64060
1282;4607;89022
1283;3300;78483
1284;68749;34559
1286;75152;18912
1287;127147;76435
1288;77768;85435
1289;54887;58634
1290;88887;88609
1291;1443;63838
1292;6989;89327
1294;8390;8390
1295;53250;18934
1296;85981;77513
1297;8140;113976
1298;51635;86719
1299;127934;111
1300;92931;162
1304;103701;58806
1305;89222;59242
1306;86719;51635
1308;65178;64199
1309;3588;3588
1310;64199;65178
1311;3566;127143
1312;92502;4731
1313;17636;10736
1315;3588;275
1316;3623;1443
1317;48684;88140
1318;1446;77762
1319;10371;11312
1320;52488;55018
1321;18934;53250
1322;4718;23918
1323;58634;22260
1325;3511;4750
1326;57979;57979
1327;60611;89968
1328;4848;8192
1330;8183;79649
1331;8389;55110
1332;47289;9108
1333;65178;58416
1335;103785;80673
1336;77770;3582
1338;4848;60928
1339;71138;64667
1341;4105;102697
1342;77066;77066
1343;88887;9941
1344;18362;4848
1345;76461;61003
1346;161;1446
1347;77170;1446
1348;15347;78336
1349;52512;3368
1350;77903;45172
1351;4610;114
1352;86682;68374
1353;5359;55562
